suburb,postcode,lat,lng,n_addresses,level
LUTWYCHE,4030,-27.422252,153.034606,3917,suburb_postcode
EAST BRISBANE,4169,-27.483425,153.044163,5015,suburb_postcode
BAHRS SCRUB,4207,-27.734415,153.170466,3446,suburb_postcode
WINDSOR,4030,-27.434738,153.03182,5929,suburb_postcode
ROCKINGHAM,4854,-18.011462,145.971936,56,suburb_postcode
CHAMBERS FLAT,4133,-27.727201,153.087774,2334,suburb_postcode
HIGHGATE HILL,4101,-27.486838,153.01738,3904,suburb_postcode
CABOOLTURE,4510,-27.073088,152.954226,18198,suburb_postcode
BOWEN HILLS,4006,-27.44819,153.035454,5743,suburb_postcode
TAIGUM,4018,-27.344722,153.045148,4228,suburb_postcode
PARKINSON,4115,-27.635244,153.031987,4334,suburb_postcode
ALGESTER,4115,-27.611502,153.033342,3924,suburb_postcode
DUTTON PARK,4102,-27.49407,153.025415,1457,suburb_postcode
CARINDALE,4152,-27.509792,153.111779,7442,suburb_postcode
PAGET,4740,-21.176091,149.162888,1180,suburb_postcode
HOPE ISLAND,4212,-27.871829,153.363078,11655,suburb_postcode
STONES CORNER,4120,-27.500323,153.045184,2793,suburb_postcode
HAMILTON,4007,-27.439274,153.068276,7920,suburb_postcode
MOTHAR MOUNTAIN,4570,-26.228567,152.735015,270,suburb_postcode
BULIMBA,4171,-27.450713,153.058541,4918,suburb_postcode
MOUNT BINDANGO,4455,-26.488188,148.490495,23,suburb_postcode
THORNLANDS,4164,-27.560953,153.267785,8793,suburb_postcode
PARK RIDGE,4125,-27.708025,153.081152,9225,suburb_postcode
MCDOWALL,4053,-27.382002,152.990954,3831,suburb_postcode
GORDON PARK,4031,-27.415358,153.02795,2710,suburb_postcode
MACKENZIE,4156,-27.542796,153.125257,900,suburb_postcode
JIMBOOMBA,4280,-27.834157,153.044453,7715,suburb_postcode
AURUKUN,4892,-13.356034,141.72622,589,suburb_postcode
WOOLOOWIN,4030,-27.419214,153.042315,2761,suburb_postcode
KEARNEYS SPRING,4350,-27.600241,151.941599,5696,suburb_postcode
RICHMOND HILL,4820,-20.064554,146.261934,1115,suburb_postcode
MOUNT WARREN PARK,4207,-27.728969,153.204599,2739,suburb_postcode
MORNINGTON,4825,-20.734601,139.496532,1193,suburb_postcode
DALBY,4405,-27.184473,151.264923,7139,suburb_postcode
EAGLEBY,4207,-27.701332,153.214584,8061,suburb_postcode
WORONGARY,4213,-28.034674,153.341433,2671,suburb_postcode
REDCLIFFE,4020,-27.229259,153.111514,7770,suburb_postcode
HANNAFORD,4406,-27.386826,150.048446,84,suburb_postcode
KELSO,4815,-19.383102,146.726297,4496,suburb_postcode
CLONCURRY,4824,-20.705958,140.509344,1928,suburb_postcode
KELVINHAUGH,4401,-27.386877,151.766785,23,suburb_postcode
LITTLE MOUNTAIN,4551,-26.781421,153.094593,4875,suburb_postcode
KEPNOCK,4670,-24.877562,152.375382,2203,suburb_postcode
CURRUMBIN,4223,-28.135558,153.482693,2272,suburb_postcode
NORMAN PARK,4170,-27.477958,153.06193,3870,suburb_postcode
SEVENTEEN MILE ROCKS,4073,-27.548902,152.957208,1489,suburb_postcode
BILOELA,4715,-24.394917,150.513914,3490,suburb_postcode
MOOLOOLAH VALLEY,4553,-26.765405,152.961264,1690,suburb_postcode
HAWTHORNE,4171,-27.464061,153.060243,3000,suburb_postcode
MUDGEERABA,4213,-28.087701,153.362282,5947,suburb_postcode
ROCHEDALE SOUTH,4123,-27.598851,153.129772,6599,suburb_postcode
ROCKHAMPTON CITY,4700,-23.37813,150.510492,3669,suburb_postcode
PACIFIC PINES,4211,-27.939718,153.312563,6220,suburb_postcode
PALM BEACH,4221,-28.114363,153.466396,11834,suburb_postcode
LOGAN RESERVE,4133,-27.710007,153.107814,7515,suburb_postcode
EVERTON PARK,4053,-27.401026,152.988236,6078,suburb_postcode
DEEBING HEIGHTS,4306,-27.675112,152.753852,2364,suburb_postcode
GLENVALE,4350,-27.563199,151.908297,4831,suburb_postcode
INNES PARK,4670,-24.861027,152.478098,1729,suburb_postcode
ENOGGERA,4051,-27.421606,152.991809,3181,suburb_postcode
FERNY GROVE,4055,-27.402662,152.927071,2455,suburb_postcode
COOMBABAH,4216,-27.902045,153.383033,6040,suburb_postcode
MITCHELTON,4053,-27.411005,152.971935,5006,suburb_postcode
BUNDABERG EAST,4670,-24.858113,152.375736,2002,suburb_postcode
KILLARNEY,4373,-28.342442,152.296126,769,suburb_postcode
ST GEORGE,4487,-28.039083,148.583456,2200,suburb_postcode
TINBEERWAH,4563,-26.414637,152.987662,613,suburb_postcode
INNISFAIL ESTATE,4860,-17.519227,146.038687,761,suburb_postcode
COOROY,4563,-26.417983,152.909684,3136,suburb_postcode
